사업장명,지번주소,도로명주소,업태구분명,구,경도,위도,구글가게명,구글주소,별점,카테고리,리뷰수,구글위도,구글경도
허슬,서울특별시 성북구 길음동 1252 ,"서울특별시 성북구 삼양로 25, 1층 (길음동)",경양식,성북구,127.0241694,37.60537525,허슬,서울특별시 성북구 삼양로 25 1층,5.0,음식점,1,37.6053749,127.0241696
샬레,서울특별시 성북구 동선동3가 233 ,"서울특별시 성북구 보문로34길 87, 1층 104호 (동선동3가)",식육(숯불구이),성북구,127.0201906,37.5914755,샬레,서울특별시 성북구 보문로34길 87 104호,5.0,음식점,3,37.59139,127.0202367
나따드나따(Nata de Nata),서울특별시 성북구 동소문동1가 36 ,"서울특별시 성북구 성북로2길 22, 1층 (동소문동1가)",기타,성북구,127.0070931,37.58930371,Nata de Nata 나따드나따,"1층, 22 성북로2길 성북구 서울특별시",5.0,제과점,11,37.5893186,127.0070636
한원,서울특별시 성북구 성북동1가 39 1층 우측 ,"서울특별시 성북구 성북로5길 12, 1층 우측 (성북동1가)",한식,성북구,127.0043465,37.58905702,한원,서울특별시 성북구 성북동1가 39번지 1층 102호,4.4,중국 음식점,14,37.5890112,127.004299
아재부엌,서울특별시 성북구 석관동 131-17 ,"서울특별시 성북구 한천로78길 52-1, 1층 (석관동)",기타,성북구,127.0649735,37.61275981,아재부엌 (Kitchen AJAE),서울특별시 성북구 한천로78길 52-1,4.6,이자카야,5,37.6127333,127.0649571
다정소반,서울특별시 성북구 안암동5가 100-11 2층 ,"서울특별시 성북구 고려대로27길 7, 2층 (안암동5가)",일식,성북구,127.0298462,37.58663574,다정소반,서울특별시 성북구 안암동5가 번지 2층 100-11,4.0,음식점,3,37.5865997,127.0297956
올쓰(alls),서울특별시 성북구 동선동1가 56 ,"서울특별시 성북구 보문로34길 51, 3층 (동선동1가)",기타,성북구,127.0181278,37.59093358,올쓰,서울특별시 성북구 보문로34길 51 3층,5.0,와인 바,1,37.5908851,127.0180566
작약,서울특별시 성북구 삼선동5가 409 ,"서울특별시 성북구 보문로32길 14, 2층 (삼선동5가)",기타,성북구,127.0173765,37.5894072,카페작약,서울특별시 성북구 삼선동5가 409,5.0,커피숍/커피 전문점,2,37.5894068,127.0173767
몬안(mon an),서울특별시 성북구 하월곡동 10-34 2층 ,"서울특별시 성북구 화랑로 115-27, 2층 (하월곡동)",기타,성북구,127.0437746,37.60477312,몬안,서울특별시 성북구 화랑로 115-27 2층,3.0,쌀국수 전문식당,1,37.6047343,127.0437519
멘보샤,서울특별시 성북구 종암동 3-368 ,"서울특별시 성북구 월곡로 59, 1층 (종암동)",기타,성북구,127.0392243,37.59772534,멘보샤종암점,서울특별시 성북구 월곡로 59,4.3,술집,89,37.5977168,127.0392627
엘마드레,서울특별시 성북구 성북동 183-4번지 1층 ,"서울특별시 성북구 성북로8길 14, 1층 (성북동)",기타,성북구,127.0045508,37.59106933,엘마드레,서울특별시 성북구 성북동 성북로8길 14,4.5,식음료 컨설턴트,2,37.5910377,127.0045324
랭스터디카페 성신여대점,"서울특별시 성북구 동선동1가 72-2번지 해송빌딩 201호, 301호 ","서울특별시 성북구 동소문로20길 37-6, 해송빌딩 2,3층 201, 301호호 (동선동1가)",기타,성북구,127.0172755,37.59084686,랭스터디카페성신여대점,서울특별시 성북구 동선동1가 72-2번지 201호 호,4.6,카페,5,37.590833,127.01719
홍가네,서울특별시 성북구 삼선동1가 102번지 1층 ,"서울특별시 성북구 삼선교로10길 22, 1층 (삼선동1가)",한식,성북구,127.0091593,37.58706008,홍가네김밥,서울특별시 성북구 삼선동1가 102번지 1층,3.3,김밥전문점,3,37.5870258,127.0091783
메가엠지씨커피 월곡역점,서울특별시 성북구 하월곡동 18-14번지 지상1층 ,"서울특별시 성북구 화랑로13길 7, 1층 (하월곡동)",기타,성북구,127.0425381,37.60375533,메가MGC커피 월곡역점,서울특별시 성북구 화랑로13길 7,4.1,커피숍/커피 전문점,35,37.603803,127.0425319
조선아구찜 강북점,서울특별시 성북구 하월곡동 50-12 ,"서울특별시 성북구 화랑로5길 32, 1층 (하월곡동)",한식,성북구,127.0393288,37.60393439,조선아구찜 강북점,서울특별시 성북구 화랑로5길 32 1 층,4.7,해산물 요리 전문식당,3,37.603934,127.039329
고야정담,서울특별시 성북구 안암동5가 104-121 ,"서울특별시 성북구 고려대로24길 56, 2층 (안암동5가)",한식,성북구,127.0293082,37.58368104,고야정담,서울특별시 성북구 고려대로24길 56,5.0,음식점,1,37.5836807,127.0293084
두찜 성신여대입구역점,서울특별시 성북구 동선동5가 34 ,"서울특별시 성북구 아리랑로 22, 1층 (동선동5가)",한식,성북구,127.0162982,37.59472506,두찜 성신여대입구역점,서울특별시 성북구 동선동5가 34,4.0,닭요리전문점,1,37.5947247,127.0162984
철길부산집 석계역점,서울특별시 성북구 석관동 133-48 ,"서울특별시 성북구 한천로80길 66, 1층 (석관동)",한식,성북구,127.0648067,37.61347411,철길부산집 석계역점,서울특별시 성북구 한천로80길 66 1층,5.0,이자카야,2,37.6134737,127.0648069
오월,서울특별시 성북구 성북동 163-19 ,"서울특별시 성북구 성북로 56, 1층 (성북동)",일식,성북구,127.0025169,37.59278221,ろばた 오월,서울특별시 성북구 성북로 56,5.0,이자카야,1,37.5927818,127.0025171
